metric,model,n_train,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws,fixed_mean,tuned_mean,relative_change,significant_shift
crps,lightgbm_multiclass,360,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,0.0133167641551304,0.0133167641551304,0.0,False
coverage,lightgbm_multiclass,360,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,0.9176778359789889,0.9176778359789889,0.0,False
mean_width,lightgbm_multiclass,360,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,13.776617086198815,13.776617086198815,0.0,False
mean_width_inclusive,lightgbm_multiclass,360,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,14.776617086198815,14.776617086198815,0.0,False
mean_q,lightgbm_multiclass,360,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,1.4589614502843014,1.4589614502843014,0.0,False
crps_game_equal,lightgbm_multiclass,360,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,0.013262342119485956,0.013262342119485956,0.0,False
coverage_game_equal,lightgbm_multiclass,360,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,0.9181357265068908,0.9181357265068908,0.0,False
mean_width_game_equal,lightgbm_multiclass,360,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,13.796453123897994,13.796453123897994,0.0,False
mean_width_inclusive_game_equal,lightgbm_multiclass,360,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,14.796453123897994,14.796453123897994,0.0,False
crps,ridge_sgd_l2,360,tuned - fixed,20,-0.00032034079437833667,1.9680575116242615e-05,4.400710379620931e-06,-0.0003295515870593674,-0.00031113000169730594,-0.00035631098491447873,-0.0002843706038421946,0.95,8.173723656688466,10000,0.014192445509168136,0.013872104714789798,-0.02257121890455036,True
coverage,ridge_sgd_l2,360,tuned - fixed,20,-0.009400414476485885,0.0021718190049870535,0.0004856334929977006,-0.01041685705895638,-0.00838397189401539,-0.013369848446681442,-0.005430980506290327,0.95,8.173723656688466,10000,0.9379518306644681,0.9285514161879821,-0.010022278510642066,True
mean_width,ridge_sgd_l2,360,tuned - fixed,20,-2.8816292045769734,0.17258542024726592,0.038591273159825516,-2.9624016675907283,-2.8008567415632184,-3.1970636069451657,-2.566194802208781,0.95,8.173723656688466,10000,21.572640304799293,18.69101110022232,-0.133577956330913,True
mean_width_inclusive,ridge_sgd_l2,360,tuned - fixed,20,-2.8816292045769734,0.17258542024726592,0.038591273159825516,-2.9624016675907283,-2.8008567415632184,-3.1970636069451657,-2.566194802208781,0.95,8.173723656688466,10000,22.572640304799293,19.69101110022232,-0.12766026329513142,True
mean_q,ridge_sgd_l2,360,tuned - fixed,20,-0.0775974029517912,0.053521595779625536,0.011967792642750854,-0.10264628083123897,-0.05254852507234342,-0.17541883279418602,0.02022402689060364,0.95,8.173723656688466,10000,0.3417052246637049,0.2641078217119137,-0.22708872253317175,False
