task_id,metric,n_train,model_left,model_right,repeats,difference_mean,difference_sd,difference_q10,difference_q90,difference_mcse
bdb2023_sack,game_equal_loss,60,linear_structure,boosted_structure,100,-0.0014090213576161352,0.0007452726035236024,-0.0023177068695544325,-0.0006376244714891328,7.452726035236024e-05
bdb2023_sack,game_equal_loss,60,linear_structure,relnet,100,-6.689893007562238e-05,0.0005655498759847402,-0.0007185894553842665,0.0006123610107944709,5.6554987598474016e-05
bdb2023_sack,game_equal_loss,60,linear_structure,attn_relnet,100,-5.721905030660508e-05,0.0005604812043210725,-0.0006680263522637369,0.0006575363127155995,5.604812043210725e-05
bdb2023_sack,game_equal_loss,60,linear_structure,set_transformer,100,-1.9490390905249483e-05,0.0007453683808638696,-0.0007517162281032274,0.000841905303667867,7.453683808638696e-05
bdb2023_sack,game_equal_loss,60,boosted_structure,relnet,100,0.0013421224275405128,0.0007337681212772698,0.00047791347866583055,0.0022010150579409794,7.337681212772698e-05
bdb2023_sack,game_equal_loss,60,boosted_structure,attn_relnet,100,0.00135180230730953,0.0007257605265156133,0.0005098865748296031,0.0022027203225603495,7.257605265156134e-05
bdb2023_sack,game_equal_loss,60,boosted_structure,set_transformer,100,0.0013895309667108858,0.0008663141664218384,0.000508347510620212,0.002515317520548163,8.663141664218384e-05
bdb2023_sack,game_equal_loss,60,relnet,attn_relnet,100,9.679879769017297e-06,8.588127882407478e-05,-1.750193662345828e-05,9.854775874877655e-06,8.588127882407478e-06
bdb2023_sack,game_equal_loss,60,relnet,set_transformer,100,4.74085391703729e-05,0.0006774377598875808,-0.0007363421470198417,0.0008785173786534793,6.774377598875808e-05
bdb2023_sack,game_equal_loss,60,attn_relnet,set_transformer,100,3.7728659401355596e-05,0.0006689691121820093,-0.0007344502919581455,0.000764610501503182,6.689691121820093e-05
bdb2023_sack,skill,10,linear_structure,boosted_structure,100,0.03917249279064702,0.016885490051171487,0.023611296507813885,0.05665924608642562,0.0016885490051171486
bdb2023_sack,skill,10,linear_structure,relnet,100,0.0027353066092958046,0.026875563502800154,-0.019367642596441324,0.024690636931632603,0.0026875563502800153
bdb2023_sack,skill,10,linear_structure,attn_relnet,100,0.00300841251955955,0.027255034176852613,-0.019401057795339117,0.025851478737669877,0.002725503417685261
bdb2023_sack,skill,10,linear_structure,set_transformer,100,0.011094342942383506,0.043800356023628834,-0.016658637933419852,0.04894110067882908,0.0043800356023628835
bdb2023_sack,skill,10,boosted_structure,relnet,100,-0.036437186181351215,0.02495837689966293,-0.05760670977588374,-0.015473106441840159,0.0024958376899662927
bdb2023_sack,skill,10,boosted_structure,attn_relnet,100,-0.036164080271087466,0.02541438209964347,-0.05761445852433654,-0.015513296914070341,0.002541438209964347
bdb2023_sack,skill,10,boosted_structure,set_transformer,100,-0.02807814984826351,0.04592276205026704,-0.05694959498193606,0.02642989692696033,0.004592276205026704
bdb2023_sack,skill,10,relnet,attn_relnet,100,0.00027310591026374567,0.0012778535443259274,-7.526775869802771e-05,0.00031523086813667556,0.00012778535443259276
