model,model_display_name,n_train,metric,base_metric,aggregation,n_repeats,mean,sd,mcse,median,iqr,q10,q90
lightgbm_multiclass,LightGBM,160,mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,100,14.886082650643388,0.3075526986059123,0.03075526986059123,14.864725613135306,0.4329283199352272,14.516656148253539,15.308379038900306
lightgbm_multiclass,LightGBM,240,crps,crps,play,100,0.013475707561037886,0.0002803956795021673,2.8039567950216727e-05,0.013480058621900158,0.00040991333461964236,0.013079268503382119,0.013778984632016388
lightgbm_multiclass,LightGBM,240,coverage,coverage,play,100,0.9135954897578378,0.005079784199139911,0.000507978419913991,0.9135974713270432,0.007398278071043207,0.9077665072382983,0.9188298244023558
lightgbm_multiclass,LightGBM,240,mean_width,mean_width,play,100,13.696381897412577,0.26545711875170297,0.026545711875170297,13.673855631598714,0.37327040174641724,13.378998308864656,14.064387421615441
lightgbm_multiclass,LightGBM,240,mean_width_inclusive,mean_width_inclusive,play,100,14.696381897412577,0.26545711875170297,0.026545711875170297,14.673855631598714,0.37327040174641724,14.378998308864656,15.064387421615441
lightgbm_multiclass,LightGBM,240,mean_q,mean_q,play,100,1.7217568911204735,0.1563396286986259,0.01563396286986259,1.7152464448400502,0.18537243575161133,1.5339048213543132,1.9106374845776861
lightgbm_multiclass,LightGBM,240,crps_game_equal,crps,game_equal,100,0.013426126846662891,0.0002769503936246366,2.7695039362463662e-05,0.013430596288504815,0.0004104817804235217,0.013041978484699911,0.013759202579432833
lightgbm_multiclass,LightGBM,240,coverage_game_equal,coverage,game_equal,100,0.9140979732726703,0.005057594269219355,0.0005057594269219355,0.9140403963948693,0.007244608494253346,0.9082834800793131,0.9195460931389593
lightgbm_multiclass,LightGBM,240,mean_width_game_equal,mean_width,game_equal,100,13.719049295350763,0.26575218749204477,0.026575218749204477,13.698061775605685,0.3667342112675982,13.407711118161224,14.08270366246549
lightgbm_multiclass,LightGBM,240,mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,100,14.719049295350763,0.2657521874920444,0.02657521874920444,14.698061775605687,0.3667342112676,14.407711118161222,15.08270366246549
